"","Cov.Eff.Dist","Cov.Val.Dist","Structure"
"158","Dist4","Dist6","Clementsian"
"159","Dist4","Dist7","Quasi-Clementsian"
"160","Dist4","Dist8","Nested"
"161","Dist1","Dist1","Random"
"162","Dist1","Dist2","Clementsian"
"163","Dist1","Dist3","Nested"
"164","Dist1","Dist4","Quasi-Nested"
"165","Dist1","Dist5","Random"
"166","Dist1","Dist6","Gleasonian"
"167","Dist1","Dist7","Random"
"168","Dist1","Dist8","Quasi-Nested"
"169","Dist2","Dist1","Clementsian"
"170","Dist2","Dist2","Clementsian"
"171","Dist2","Dist3","Quasi-Nested"
"172","Dist2","Dist4","Quasi-Nested"
"173","Dist2","Dist5","Random"
"174","Dist2","Dist6","Gleasonian"
"175","Dist2","Dist7","Quasi-Clementsian"
"176","Dist2","Dist8","Random"
"177","Dist3","Dist1","Random"
"178","Dist3","Dist2","Clementsian"
"179","Dist3","Dist3","Quasi-Nested"
"180","Dist3","Dist4","Quasi-Clementsian"
"181","Dist3","Dist5","Random"
"182","Dist3","Dist6","Clementsian"
"183","Dist3","Dist7","Quasi-Nested"
"184","Dist3","Dist8","Clementsian"
"185","Dist4","Dist1","Quasi-Clementsian"
"186","Dist4","Dist2","Clementsian"
"187","Dist4","Dist3","Nested"
"188","Dist4","Dist4","Quasi-Clementsian"
"189","Dist4","Dist5","Random"
"190","Dist4","Dist6","Clementsian"
"191","Dist4","Dist7","Quasi-Nested"
"192","Dist4","Dist8","Random"
"193","Dist1","Dist1","Checkerboard"
"194","Dist1","Dist2","Clementsian"
"195","Dist1","Dist3","Random"
"196","Dist1","Dist4","Quasi-Clementsian"
"197","Dist1","Dist5","Random"
"198","Dist1","Dist6","Clementsian"
"199","Dist1","Dist7","Quasi-Clementsian"
"200","Dist1","Dist8","Quasi-Clementsian"
"201","Dist2","Dist1","Clementsian"
"202","Dist2","Dist2","Clementsian"
"203","Dist2","Dist3","Quasi-Nested"
"204","Dist2","Dist4","Quasi-Clementsian"
"205","Dist2","Dist5","Random"
"206","Dist2","Dist6","Gleasonian"
"207","Dist2","Dist7","Random"
"208","Dist2","Dist8","Clementsian"
"209","Dist3","Dist1","Random"
"210","Dist3","Dist2","Clementsian"
"211","Dist3","Dist3","Quasi-Clementsian"
"212","Dist3","Dist4","Quasi-Nested"
"213","Dist3","Dist5","Random"
"214","Dist3","Dist6","Clementsian"
"215","Dist3","Dist7","Random"
"216","Dist3","Dist8","Quasi-Clementsian"
"217","Dist4","Dist1","Gleasonian"
"218","Dist4","Dist2","Clementsian"
"219","Dist4","Dist3","Quasi-Nested"
"220","Dist4","Dist4","Random"
"221","Dist4","Dist5","Random"
"222","Dist4","Dist6","Clementsian"
"223","Dist4","Dist7","Quasi-Clementsian"
"224","Dist4","Dist8","Quasi-Clementsian"
"225","Dist1","Dist1","Random"
"226","Dist1","Dist2","Gleasonian"
"227","Dist1","Dist3","Quasi-Clementsian"
"228","Dist1","Dist4","Random"
"229","Dist1","Dist5","Random"
"230","Dist1","Dist6","Random"
"231","Dist1","Dist7","Random"
"232","Dist1","Dist8","Quasi-Clementsian"
"233","Dist2","Dist1","Random"
"234","Dist2","Dist2","Clementsian"
"235","Dist2","Dist3","Quasi-Nested"
"236","Dist2","Dist4","Quasi-Clementsian"
"237","Dist2","Dist5","Random"
"238","Dist2","Dist6","Gleasonian"
"239","Dist2","Dist7","Quasi-Nested"
"240","Dist2","Dist8","Quasi-Nested"
"241","Dist3","Dist1","Random"
"242","Dist3","Dist2","Gleasonian"
"243","Dist3","Dist3","Quasi-Clementsian"
"244","Dist3","Dist4","Quasi-Nested"
"245","Dist3","Dist5","Random"
"246","Dist3","Dist6","Clementsian"
"247","Dist3","Dist7","Random"
"248","Dist3","Dist8","Nested"
"249","Dist4","Dist1","Quasi-Clementsian"
"250","Dist4","Dist2","Clementsian"
"251","Dist4","Dist3","Nested"
"252","Dist4","Dist4","Quasi-Nested"
"253","Dist4","Dist5","Clementsian"
"254","Dist4","Dist6","Clementsian"
"255","Dist4","Dist7","Quasi-Nested"
"256","Dist4","Dist8","Quasi-Clementsian"
"257","Dist1","Dist1","Random"
"258","Dist1","Dist2","Gleasonian"
"259","Dist1","Dist3","Quasi-Clementsian"
"260","Dist1","Dist4","Random"
"261","Dist1","Dist5","Random"
"262","Dist1","Dist6","Clementsian"
"263","Dist1","Dist7","Quasi-Clementsian"
"264","Dist1","Dist8","Quasi-Nested"
"265","Dist2","Dist1","Clementsian"
"266","Dist2","Dist2","Clementsian"
"267","Dist2","Dist3","Quasi-Nested"
"268","Dist2","Dist4","Quasi-Nested"
"269","Dist2","Dist5","Random"
"270","Dist2","Dist6","Random"
"271","Dist2","Dist7","Quasi-Nested"
"272","Dist2","Dist8","Quasi-Nested"
"273","Dist3","Dist1","Random"
"274","Dist3","Dist2","Gleasonian"
"275","Dist3","Dist3","Quasi-Clementsian"
"276","Dist3","Dist4","Quasi-Nested"
"277","Dist3","Dist5","Random"
"278","Dist3","Dist6","Random"
"279","Dist3","Dist7","Random"
"280","Dist3","Dist8","Nested"
"281","Dist4","Dist1","Gleasonian"
"282","Dist4","Dist2","Clementsian"
"283","Dist4","Dist3","Quasi-Nested"
"284","Dist4","Dist4","Quasi-Nested"
"285","Dist4","Dist5","Quasi-Clementsian"
"286","Dist4","Dist6","Clementsian"
"287","Dist4","Dist7","Nested"
"288","Dist4","Dist8","Random"
"289","Dist1","Dist1","Random"
"290","Dist1","Dist2","Clementsian"
"291","Dist1","Dist3","Clementsian"
"292","Dist1","Dist4","Clementsian"
"293","Dist1","Dist5","Random"
"294","Dist1","Dist6","Clementsian"
"295","Dist1","Dist7","Random"
"296","Dist1","Dist8","Quasi-Nested"
"297","Dist2","Dist1","Random"
"298","Dist2","Dist2","Clementsian"
"299","Dist2","Dist3","Quasi-Nested"
"300","Dist2","Dist4","Random"
"301","Dist2","Dist5","Random"
"302","Dist2","Dist6","Gleasonian"
"303","Dist2","Dist7","Nested"
"304","Dist2","Dist8","Quasi-Nested"
"305","Dist3","Dist1","Random"
"306","Dist3","Dist2","Quasi-Clementsian"
"307","Dist3","Dist3","Quasi-Clementsian"
"308","Dist3","Dist4","Quasi-Nested"
"309","Dist3","Dist5","Random"
"310","Dist3","Dist6","Clementsian"
"311","Dist3","Dist7","Quasi-Clementsian"
"312","Dist3","Dist8","Quasi-Nested"
"313","Dist4","Dist1","Clementsian"
"314","Dist4","Dist2","Clementsian"
"315","Dist4","Dist3","Quasi-Clementsian"
"316","Dist4","Dist4","Random"
"317","Dist4","Dist5","Quasi-Clementsian"
"318","Dist4","Dist6","Clementsian"
"319","Dist4","Dist7","Quasi-Nested"
"320","Dist4","Dist8","Nested"
"321","Dist1","Dist1","Random"
"322","Dist1","Dist2","Clementsian"
"323","Dist1","Dist3","Quasi-Clementsian"
"324","Dist1","Dist4","Quasi-Nested"
"325","Dist1","Dist5","Random"
"326","Dist1","Dist6","Clementsian"
"327","Dist1","Dist7","Quasi-Clementsian"
"328","Dist1","Dist8","Quasi-Nested"
"329","Dist2","Dist1","Gleasonian"
"330","Dist2","Dist2","Clementsian"
"331","Dist2","Dist3","Nested"
"332","Dist2","Dist4","Quasi-Nested"
"333","Dist2","Dist5","Random"
"334","Dist2","Dist6","Gleasonian"
"335","Dist2","Dist7","Quasi-Nested"
"336","Dist2","Dist8","Quasi-Nested"
"337","Dist3","Dist1","Random"
"338","Dist3","Dist2","Clementsian"
"339","Dist3","Dist3","Random"
"340","Dist3","Dist4","Quasi-Nested"
"341","Dist3","Dist5","Random"
"342","Dist3","Dist6","Gleasonian"
"343","Dist3","Dist7","Random"
"344","Dist3","Dist8","Quasi-Nested"
"345","Dist4","Dist1","Clementsian"
"346","Dist4","Dist2","Clementsian"
"347","Dist4","Dist3","Quasi-Nested"
"348","Dist4","Dist4","Quasi-Clementsian"
"349","Dist4","Dist5","Clementsian"
"350","Dist4","Dist6","Gleasonian"
"351","Dist4","Dist7","Quasi-Clementsian"
"352","Dist4","Dist8","Random"
"353","Dist1","Dist1","Random"
"354","Dist1","Dist2","Clementsian"
"355","Dist1","Dist3","Quasi-Nested"
"356","Dist1","Dist4","Quasi-Clementsian"
"357","Dist1","Dist5","Random"
"358","Dist1","Dist6","Clementsian"
"359","Dist1","Dist7","Random"
"360","Dist1","Dist8","Quasi-Nested"
"361","Dist2","Dist1","Clementsian"
"362","Dist2","Dist2","Clementsian"
"363","Dist2","Dist3","Random"
"364","Dist2","Dist4","Random"
"365","Dist2","Dist5","Random"
"366","Dist2","Dist6","Gleasonian"
"367","Dist2","Dist7","Random"
"368","Dist2","Dist8","Nested"
